system,query_id,query_type,case_type,run_status,used_decomposition,paper_reranking_enabled,num_subproblems_run,num_returned_equipment,num_evidence_quotes,num_supporting_papers,original_query,num_papers_attempted,num_papers_with_chunks,num_full_text_success,num_fallback_used,num_skipped,num_pdf_used,num_html_used,num_ar5iv_used,num_abstract_fallback_used,num_tldr_metadata_fallback_used,num_metadata_fallback_used,full_text_success_fraction,fallback_fraction,skipped_fraction,used_source_type_counts,fallback_source_type_counts,top1_equipment,top1_output_score,top1_match_label,best_output_score_any_rank,best_match_label_any_rank,error,match_scores,match_labels,matched_expected_names,ndcg_at_1,hit_at_1,strict_hit_at_1,must_have_recall_at_1,relevant_recall_at_1,clearly_not_suitable_at_1,ndcg_at_3,hit_at_3,strict_hit_at_3,must_have_recall_at_3,relevant_recall_at_3,clearly_not_suitable_at_3,ndcg_at_5,hit_at_5,strict_hit_at_5,must_have_recall_at_5,relevant_recall_at_5,clearly_not_suitable_at_5,ndcg_at_10,hit_at_10,strict_hit_at_10,must_have_recall_at_10,relevant_recall_at_10,clearly_not_suitable_at_10,main_output_score
LLM-only,1d_tsc_verification,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,,1,5,0,0,"I need to evaluate whether an atomic spin chain on a superconducting substrate is a candidate 1D topological superconductor with Majorana end modes, and I want the most relevant physical instrumentation for checking the end states and their spin signature.",,,,,,,,,,,,,,,{},{},Low-temperature spin-polarized scanning tunneling microscope,3.0,must_have,3.0,must_have,,"[3, 3, 3, 0, 0]","['must_have', 'must_have', 'must_have', 'no_match', 'no_match']","['scanning tunneling microscope', 'scanning tunneling microscope', 'scanning tunneling spectroscopy', None, None]",1.0,True,True,0.25,0.09090909090909091,False,1.0,True,True,0.5,0.18181818181818182,False,0.7227265726449517,True,True,0.5,0.18181818181818182,False,0.4866937148938299,True,True,0.5,0.18181818181818182,False,1.0
Literature-RAG,1d_tsc_verification,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,True,1,4,11,11,"I need to evaluate whether an atomic spin chain on a superconducting substrate is a candidate 1D topological superconductor with Majorana end modes, and I want the most relevant physical instrumentation for checking the end states and their spin signature.",10.0,10.0,8.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.8,0.2,0.0,"{'pdf': 8, 'abstract': 2}",{'abstract': 2},scanning tunneling microscope,3.0,must_have,3.0,must_have,,"[3, 3, 3, 0]","['must_have', 'must_have', 'must_have', 'no_match']","['scanning tunneling microscope', 'scanning tunneling spectroscopy', 'scanning tunneling microscope', None]",1.0,True,True,0.25,0.09090909090909091,False,1.0,True,True,0.5,0.18181818181818182,False,0.7227265726449517,True,True,0.5,0.18181818181818182,False,0.4866937148938299,True,True,0.5,0.18181818181818182,False,1.0
LLM-only,2d_edge_modes,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,,1,5,0,0,"I want to study a 2D magnetic island on a superconductor and check for chiral edge modes or corner-localized zero-bias states, especially when the edge response is nonuniform across different terminations.",,,,,,,,,,,,,,,{},{},Low-temperature scanning tunneling microscope,3.0,must_have,3.0,must_have,,"[3, 3, 0, 3, 0]","['must_have', 'must_have', 'no_match', 'must_have', 'no_match']","['scanning tunneling microscope', 'scanning tunneling spectroscopy', None, 'scanning tunneling microscope', None]",1.0,True,True,0.25,0.1,False,0.7653606369886218,True,True,0.5,0.2,False,0.6992148198508501,True,True,0.5,0.2,False,0.5120608095855272,True,True,0.5,0.2,False,0.7653606369886218
Literature-RAG,2d_edge_modes,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,True,1,2,6,2,"I want to study a 2D magnetic island on a superconductor and check for chiral edge modes or corner-localized zero-bias states, especially when the edge response is nonuniform across different terminations.",10.0,10.0,6.0,4.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.6,0.4,0.0,"{'pdf': 6, 'abstract': 4}",{'abstract': 4},low-temperature scanning tunneling microscope with scanning tunneling spectroscopy,3.0,must_have,3.0,must_have,,"[3, 0]","['must_have', 'no_match']","['scanning tunneling microscope', None]",1.0,True,True,0.25,0.1,False,0.4692787260227565,True,True,0.25,0.1,False,0.3391602052736161,True,True,0.25,0.1,False,0.2483795313844281,True,True,0.25,0.1,False,0.4692787260227565
LLM-only,2des-cross-pol,specific,paper_grounded_local_candidate,completed,False,,1,5,0,0,I need the physical setup used to collect polarization-controlled two-dimensional electronic spectra with cross-polarized pulse sequences on a photosynthetic complex.,,,,,,,,,,,,,,,{},{},Two-dimensional electronic spectroscopy setup,3.0,must_have,3.0,must_have,,"[3, 0, 0, 0, 0]","['must_have', 'no_match', 'no_match', 'no_match', 'no_match']","['two-dimensional electronic spectroscopy setup', None, None, None, None]",1.0,True,True,0.25,0.14285714285714285,False,0.4692787260227565,True,True,0.25,0.14285714285714285,False,0.3391602052736161,True,True,0.25,0.14285714285714285,False,0.3040398169605797,True,True,0.25,0.14285714285714285,False,0.4692787260227565
Literature-RAG,2des-cross-pol,specific,paper_grounded_local_candidate,completed,False,True,1,2,7,6,I need the physical setup used to collect polarization-controlled two-dimensional electronic spectra with cross-polarized pulse sequences on a photosynthetic complex.,10.0,10.0,2.0,8.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.2,0.8,0.0,"{'abstract': 7, 'publisher_html': 1, 'metadata': 1, 'pdf': 1}","{'abstract': 7, 'metadata': 1}",2D electronic spectroscopy setup with pulse shaper,3.0,must_have,3.0,must_have,,"[3, 0]","['must_have', 'no_match']","['2D electronic spectroscopy setup', None]",1.0,True,True,0.25,0.14285714285714285,False,0.4692787260227565,True,True,0.25,0.14285714285714285,False,0.3391602052736161,True,True,0.25,0.14285714285714285,False,0.3040398169605797,True,True,0.25,0.14285714285714285,False,0.4692787260227565
LLM-only,2des-lh2-instrument,specific,paper_grounded_local_candidate,completed,False,,1,5,0,0,"I need to measure ultrafast excitation-energy transfer in a photosynthetic complex and extract two-dimensional electronic spectra with rephasing/nonrephasing pathways, cross-peaks, and polarization anisotropy.",,,,,,,,,,,,,,,{},{},Two-dimensional electronic spectroscopy system,3.0,must_have,3.0,must_have,,"[3, 0, 0, 0, 0]","['must_have', 'no_match', 'no_match', 'no_match', 'no_match']","['ultrafast femtosecond pump-probe 2DES setup', None, None, None, None]",1.0,True,True,0.125,0.08333333333333333,False,0.4692787260227565,True,True,0.125,0.08333333333333333,False,0.3391602052736161,True,True,0.125,0.08333333333333333,False,0.2200917662980802,True,True,0.125,0.08333333333333333,False,0.4692787260227565
Literature-RAG,2des-lh2-instrument,specific,paper_grounded_local_candidate,completed,False,True,1,3,6,5,"I need to measure ultrafast excitation-energy transfer in a photosynthetic complex and extract two-dimensional electronic spectra with rephasing/nonrephasing pathways, cross-peaks, and polarization anisotropy.",10.0,10.0,3.0,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.3,0.7,0.0,"{'publisher_html': 2, 'abstract': 5, 'pdf': 1, 'tldr_metadata': 2}","{'abstract': 5, 'tldr_metadata': 2}",two-dimensional electronic spectroscopy system,3.0,must_have,3.0,must_have,,"[3, 3, 0]","['must_have', 'must_have', 'no_match']","['2D electronic spectroscopy setup', 'two-dimensional optical spectroscopy setup', None]",1.0,True,True,0.125,0.08333333333333333,False,0.7653606369886218,True,True,0.25,0.16666666666666666,False,0.5531464700081437,True,True,0.25,0.16666666666666666,False,0.35895421017163476,True,True,0.25,0.16666666666666666,False,0.7653606369886218
LLM-only,2des_77k_lhcii,specific,paper_grounded_local_candidate,completed,False,,1,5,0,0,I need the instrument setup used to measure 77 K two-dimensional electronic spectra of Bryopsis corticulans LHCII for exciton-dynamics analysis.,,,,,,,,,,,,,,,{},{},two-dimensional electronic spectroscopy setup,3.0,must_have,3.0,must_have,,"[3, 1, 0, 0, 0]","['must_have', 'supporting_but_not_ideal', 'no_match', 'no_match', 'no_match']","['two-dimensional electronic spectroscopy setup', 'cryostat', None, None, None]",1.0,True,True,0.25,0.125,False,0.511576141875023,True,True,0.25,0.125,False,0.3697296716642629,True,True,0.25,0.125,False,0.29728014698858374,True,True,0.25,0.125,False,0.511576141875023
Literature-RAG,2des_77k_lhcii,specific,paper_grounded_local_candidate,completed,False,True,1,1,2,4,I need the instrument setup used to measure 77 K two-dimensional electronic spectra of Bryopsis corticulans LHCII for exciton-dynamics analysis.,10.0,10.0,1.0,9.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.1,0.9,0.0,"{'pdf': 1, 'abstract': 9}",{'abstract': 9},two-dimensional electronic spectroscopy setup,3.0,must_have,3.0,must_have,,[3],['must_have'],['two-dimensional electronic spectroscopy setup'],1.0,True,True,0.25,0.125,False,0.4692787260227565,True,True,0.25,0.125,False,0.3391602052736161,True,True,0.25,0.125,False,0.2727008498467892,True,True,0.25,0.125,False,0.4692787260227565
