query_id,rag_query_type,rag_original_query,delta_llm_minus_rag_ndcg_at_3,rag_ndcg_at_3,llm_only_ndcg_at_3,rag_top1_equipment,rag_top1_match_label,llm_top1_equipment,llm_top1_match_label,rag_match_labels,llm_match_labels,rag_matched_expected_names,llm_matched_expected_names
fast_mas_dnp,process_optimization,"My torsion-angle experiments on a dilute, weakly ordered biomolecular assembly have poor sensitivity and I need a setup that improves signal and enables measurements at low temperature if needed.",-1.0,1.0,0.0,dynamic nuclear polarization (DNP) solid-state NMR setup,must_have,low-temperature high-sensitivity torsion-angle measurement spectrometer,no_match,"['must_have', 'best_match', 'best_match']","['no_match', 'no_match', 'no_match', 'no_match', 'no_match']","['dynamic nuclear polarization solid-state NMR system', 'proton-detected fast MAS ssNMR', 'fast MAS NMR']","[None, None, None, None, None]"
ion_trap_nexams_setup,specific,"I need the physical instrument setup used to study soft X-ray-induced ionization and fragmentation of trapped PAH cations, while recording the resulting photoion and fragment yields as a function of photon energy.",-1.0,1.0,0.0,cryogenic linear radiofrequency ion trap,must_have,Ion trap mass spectrometer,no_match,"['must_have', 'must_have', 'best_match', 'no_match', 'must_have']","['no_match', 'no_match', 'no_match', 'must_have', 'supporting_but_not_ideal']","['Ion Trap endstation', 'reflectron time-of-flight mass spectrometer', 'UE52-PGM beamline', None, 'reflectron time-of-flight mass spectrometer']","[None, None, None, 'reflectron time-of-flight mass spectrometer', 'microchannel plate detector']"
q1_below_gap_pl_setup,specific,Need to reproduce the paper's below-band-gap photoluminescence measurements to test whether a broad emission band can be directly excited by sub-gap photons in lead-iodide Ruddlesden-Popper crystals.,-0.8659203639934981,0.8659203639934981,0.0,supercontinuum laser,must_have,Photoluminescence spectroscopy system,no_match,"['must_have', 'must_have', 'acceptable_alternatives', 'no_match', 'no_match', 'no_match']","['no_match', 'no_match', 'no_match', 'no_match', 'supporting_but_not_ideal']","['supercontinuum laser', 'spectrograph', 'EM-CCD camera', None, None, None]","[None, None, None, None, 'cryostat']"
summit_gpu_hpc,specific,Which physical computing platform was used to benchmark the GPU-accelerated non-orthogonal configuration interaction calculations on large molecular systems?,-0.7871546029909718,0.7871546029909718,0.0,Summit supercomputer,best_match,GPU-accelerated high-performance computing workstation,no_match,['best_match'],"['no_match', 'no_match', 'no_match']",['Summit'],"[None, None, None]"
hs-afm-fiber-growth,specific,I need to directly watch supramolecular fiber growth in liquid in real time and see whether precursor aggregates attach near the fiber end and move along the fiber before elongation. What physical instrument setup should I use?,-0.7653606369886218,0.7653606369886218,0.0,high-speed atomic force microscope,must_have,Total internal reflection fluorescence microscope,no_match,"['must_have', 'must_have']","['no_match', 'no_match', 'no_match', 'no_match', 'no_match']","['high-speed atomic force microscope', 'high-speed atomic force microscope']","[None, None, None, None, None]"
fmi_phantom_qc,method_selection,We need a physical setup to validate and periodically quality-control our fluorescence imaging device and compare performance across systems.,-0.7653606369886218,0.7653606369886218,0.0,composite fluorescence phantom,must_have,Fluorescence calibration slide,no_match,"['must_have', 'must_have']","['no_match', 'no_match', 'no_match', 'no_match', 'no_match']","['fluorescence phantom', 'fluorescence phantom']","[None, None, None, None, None]"
spin_transport_mapping,broad_diagnostic,"I need to verify long-range spin transport in graphene heterostructures and extract spin lifetime/spin diffusion length from nonlocal Hanle measurements, but my current setup mixes charge and spin signals too much.",-0.7653606369886218,0.7653606369886218,0.0,nonlocal Hanle spin precession measurement setup,best_match,Lock-in amplifier,no_match,"['best_match', 'must_have', 'no_match']","['no_match', 'no_match', 'no_match', 'no_match', 'no_match']","['Hanle spin precession measurement setup', 'four-terminal nonlocal spin valve setup', None]","[None, None, None, None, None]"
cb-sn3-h2-rfa,specific,"I need the physical instrument/setup used to measure charge-state-resolved single-electron capture from molecular hydrogen in low-energy Sn ion collisions, including the detector that resolves individual outgoing charge states.",-0.7653606369886218,1.0,0.23463936301137825,retarding field analyzer,must_have,Charge-state analysis spectrometer,no_match,"['must_have', 'must_have', 'best_match', 'supporting_but_not_ideal', 'no_match']","['no_match', 'no_match', 'must_have', 'no_match', 'no_match']","['retarding field analyzer', 'crossed-beam setup', 'deceleration platform', 'six-element deceleration lens', None]","[None, None, 'crossed-beam setup', None, None]"
item1,specific,I need to reproduce the paper’s low-temperature and time-resolved photoluminescence measurements on mixed tin-lead perovskite thin films.,-0.7653606369886218,0.7653606369886218,0.0,streak camera,best_match,ion trap mass spectrometer coupled to a soft X-ray beamline,no_match,"['best_match', 'must_have', 'no_match']","['no_match', 'no_match', 'no_match', 'best_match']","['streak camera', 'cryostat', None]","[None, None, None, 'reflectron time-of-flight mass spectrometer']"
ibs-setup-01,specific,Which physical instrument setup would you choose to fabricate the faceted glass nanowrinkles used as templates in this study?,-0.7653606369886218,0.7653606369886218,0.0,defocused ion beam sputtering setup,must_have,dual-beam focused ion beam / scanning electron microscope,no_match,"['must_have', 'best_match', 'no_match']","['no_match', 'no_match', 'no_match', 'no_match', 'no_match']","['ultrahigh vacuum ion beam sputtering setup', 'gridded multiaperture ion source', None]","[None, None, None, None, None]"
