input_query_id,input_source_pdf_path,input_source_doi,input_source_is_review_paper,original_query,used_decomposition,num_subproblems_run,rank,equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,supporting_subproblem_ids,aliases,measurement_outputs,explanations,supporting_papers
antifouling_01,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,,True,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",False,1,1,QCM-D instrument,surface mass/viscoelasticity analyzer,best_match,0.97,1,1,original_query,QCM-D | quartz crystal microbalance with dissipation analysis,adsorbed mass / frequency shift | dissipation / viscoelastic response,"This is directly suitable for verifying whether an antifouling coating prevents protein attachment. The chunk explicitly states that coating formation was confirmed by QCM-D analysis, which is a standard physical instrument for adsorption measurements.",Synergistic coating of Laponite swollen-layer and heparin composite for enhanced antifouling and antithrombotic performance. (10.1016/j.carbpol.2024.122875)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,1,Byk HazeGuard,haze/transmission/clarity meter,best_match,0.98,1,1,original_query,HazeGuard | Byk HazeGuard apparatus,haze | transmission | clarity/brightness,"The query specifically asks about whether a PET replacement can work in transparent packaging despite haze/discoloration concerns. This instrument directly measures haze, which is central to assessing transparency and visual quality.",Verkenning maximaal haalbarekwaliteiten gerecyclede PET uit schalen : Praktische studie naar de maximaal haalbare kwaliteit van mechanisch gerecyclede PET uitschalen (10.18174/526914)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,2,Konica Minolta Chroma Meter CR-400,colorimeter,best_match,0.95,1,1,original_query,CR-400 | Konica Minolta Chroma meter,L* | a* | b* | ΔE,"The query includes discoloration concerns. A colorimeter directly quantifies color changes that would indicate yellowing, graying, or other discoloration relative to PET.",Verkenning maximaal haalbarekwaliteiten gerecyclede PET uit schalen : Praktische studie naar de maximaal haalbare kwaliteit van mechanisch gerecyclede PET uitschalen (10.18174/526914)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,3,ATR-FT-IR spectrophotometer,infrared spectrophotometer,supporting_but_not_ideal,0.83,1,1,original_query,FT-IR | FT-IR-ATR | ATR-FT-IR spectrofotometrie,IR spectrum | polymer identification | contaminant presence,"This does not directly measure transparency or gas barrier, but it is useful for checking whether the candidate material contains non-PET components or contaminants that could contribute to haze/discoloration and poor performance.",Verkenning maximaal haalbarekwaliteiten gerecyclede PET uit schalen : Praktische studie naar de maximaal haalbare kwaliteit van mechanisch gerecyclede PET uitschalen (10.18174/526914)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,4,Differential Scanning Calorimeter,thermal analysis instrument,supporting_but_not_ideal,0.76,1,1,original_query,DSC | Perkin Elmer DSC 8000 | differential scanning calorimetry instrument,melting point | melting enthalpy | crystallinity estimate,"This equipment is not a direct test for transparent packaging suitability, gas barrier, or haze. It can, however, support assessment of material structure/crystallinity, which may relate to optical appearance and processability.",Verkenning maximaal haalbarekwaliteiten gerecyclede PET uit schalen : Praktische studie naar de maximaal haalbare kwaliteit van mechanisch gerecyclede PET uitschalen (10.18174/526914)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,1,Secondary-ion mass spectrometer with gas-cluster ion beam and time-of-flight analyzer,mass spectrometry imaging instrument,best_match,0.99,1,1,original_query,direct current beam buncher-time-of-flight secondary-ion mass spectrometry | TOF-SIMS | secondary-ion mass spectrometry | gas-cluster ion beam SIMS,subcellular spatial distribution maps | lipid ion images for cardiolipin and phosphatidylethanolamine,"This instrument is explicitly reported to image cardiolipins and phosphatidylethanolamines at the subcellular level. The abstract states it was developed for high spatial resolution and used to assess PE and CL in subcellular compartments of cells and tissue, directly matching the user's need to visualize these lipids in individual cells and organelles.",Secondary-Ion Mass Spectrometry Images Cardiolipins and Phosphatidylethanolamines at the Subcellular Level (10.1002/anie.201814256)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,2,Stimulated Raman scattering microscope,optical imaging microscope,acceptable_alternative,0.87,1,1,original_query,SRS microscope | PRM-SRS microscopy platform,subcellular lipid subtype images | hyperspectral Raman similarity maps | relative lipid distribution/ratio images,"The chunks explicitly state that PRM-SRS microscopy visualizes subcellular distributions of cardiolipin and can visualize multiple lipid subtypes in cells with subcellular resolution. It is relevant for subcellular lipid imaging, but the evidence shown is stronger for cardiolipin than for phosphatidylethanolamine specifically, so it is not as direct a match as SIMS for the full query.",Multi-molecular hyperspectral PRM-SRS microscopy (10.1038/s41467-024-45576-6)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,3,Transmission-geometry ambient laser desorption and plasma ionisation mass spectrometry imaging system,mass spectrometry imaging instrument,supporting_but_not_ideal,0.73,1,1,original_query,t-MALDI-P MSI | subcellular mass spectrometry imaging system,single-cell and subcellular lipid ion images | pixel-resolved lipid profiles,"The provided chunks show subcellular and single-cell mass spectrometry imaging of lipids, including PE, but the evidence does not explicitly show cardiolipin visualization in the excerpts. It is relevant to the general subcellular lipid-imaging problem, but less directly aligned to the specific CL and PE target set than the SIMS instrument.",Subcellular mass spectrometry imaging of lipids and nucleotides using transmission geometry ambient laser desorption and plasma ionisation (10.1038/s41467-025-64604-7)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,1,Summit supercomputer,supercomputer / HPC system,best_match,0.98,1,2,original_query,Oak Ridge Leadership Computing Facility Summit | 200PF Summit supercomputer | NVIDIA Volta-accelerated Summit,matrix-element calculations | nonorthogonal configuration interaction calculations,"The chunks explicitly state that GronOR was developed and benchmarked on Summit, described as the successor 200PF supercomputer with NVIDIA Volta accelerators at Oak Ridge. This directly answers which physical computing system was used for the calculations.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions (10.1021/acs.jctc.2c00266) | GronOR Nonorthogonal Configuration Interaction Calculations at Exascale (10.1016/BS.ARCC.2018.06.003)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,2,Titan supercomputer,supercomputer / HPC system,acceptable_alternative,0.74,1,1,original_query,27PF Titan supercomputer | NVIDIA Kepler-accelerated Titan,nonorthogonal configuration interaction calculations,"It is explicitly mentioned as the system where the first version of GronOR was developed, but the query asks which system the authors used to run the calculations, and Summit is the clearer match in the provided evidence.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions (10.1021/acs.jctc.2c00266)
