query_id,rag_ndcg_at_1,llm_only_ndcg_at_1,delta_llm_minus_rag_ndcg_at_1,rag_ndcg_at_3,llm_only_ndcg_at_3,delta_llm_minus_rag_ndcg_at_3,rag_ndcg_at_5,llm_only_ndcg_at_5,delta_llm_minus_rag_ndcg_at_5,rag_hit_at_1,llm_only_hit_at_1,delta_llm_minus_rag_hit_at_1,rag_hit_at_3,llm_only_hit_at_3,delta_llm_minus_rag_hit_at_3,rag_hit_at_5,llm_only_hit_at_5,delta_llm_minus_rag_hit_at_5,rag_strict_hit_at_3,llm_only_strict_hit_at_3,delta_llm_minus_rag_strict_hit_at_3,rag_must_have_recall_at_1,llm_only_must_have_recall_at_1,delta_llm_minus_rag_must_have_recall_at_1,rag_must_have_recall_at_3,llm_only_must_have_recall_at_3,delta_llm_minus_rag_must_have_recall_at_3,rag_must_have_recall_at_5,llm_only_must_have_recall_at_5,delta_llm_minus_rag_must_have_recall_at_5,rag_relevant_recall_at_3,llm_only_relevant_recall_at_3,delta_llm_minus_rag_relevant_recall_at_3,rag_relevant_recall_at_5,llm_only_relevant_recall_at_5,delta_llm_minus_rag_relevant_recall_at_5
1d_tsc_verification,1.0,1.0,0.0,1.0,1.0,0.0,0.7227265726449517,0.7227265726449517,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0
2d_edge_modes,1.0,1.0,0.0,0.4692787260227565,0.7653606369886218,0.2960819109658653,0.3391602052736161,0.6992148198508501,0.360054614577234,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.1,0.2,0.1,0.1,0.2,0.1
2des-cross-pol,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3391602052736161,0.3391602052736161,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
2des-lh2-instrument,1.0,1.0,0.0,0.7653606369886218,0.4692787260227565,-0.2960819109658653,0.5531464700081437,0.3391602052736161,-0.21398626473452753,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.125,0.125,0.0,0.25,0.125,-0.125,0.25,0.125,-0.125,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0.08333333333333333,-0.08333333333333333
2des_77k_lhcii,1.0,1.0,0.0,0.4692787260227565,0.511576141875023,0.042297415852266484,0.3391602052736161,0.3697296716642629,0.030569466390646782,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.125,0.125,0.0,0.125,0.125,0.0
2des_psii_supercomplex,0.0,1.0,1.0,0.0,0.511576141875023,0.511576141875023,0.0,0.3697296716642629,0.3697296716642629,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
ALD-SiO2-GeO2-multilayer,1.0,1.0,0.0,0.7653606369886218,0.4692787260227565,-0.2960819109658653,0.5531464700081437,0.4852285551163225,-0.06791791489182114,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.2,-0.2,0.4,0.4,0.0
K-bir_local_structure_imaging,1.0,1.0,0.0,0.7653606369886218,0.596170973579556,-0.16918966340906583,0.5740133771285303,0.4308686044455565,-0.14314477268297376,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.125,0.25,0.125,0.125,0.25,0.125
P1,1.0,1.0,0.0,0.4692787260227565,0.7653606369886218,0.2960819109658653,0.3666495063604039,0.5979795890554701,0.23133008269506622,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.2,0.4,0.2,0.2,0.4,0.2
PEF_processing_crystallization,1.0,1.0,0.0,0.596170973579556,0.596170973579556,0.0,0.4308686044455565,0.4934693258067164,0.06260072136115985,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0
