input_query_id,input_source_pdf_path,input_source_doi,input_source_is_review_paper,original_query,used_decomposition,num_subproblems_run,rank,equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,supporting_subproblem_ids,aliases,measurement_outputs,explanations,supporting_papers
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,1,oxygen transmission rate tester,gas barrier analyzer,best_match,0.99,1,2,original_query,OTR tester | oxygen permeability measurement system,oxygen transmission rate (OTR) | oxygen permeability / oxygen barrier performance,"The query is about poor gas barrier performance and whether the material can replace PET in packaging. Oxygen transmission rate is explicitly used in the provided chunks to evaluate barrier performance of PET-based and biobased packaging films, making this the most direct physical equipment for the gas-barrier part of the question.","Crab-on-a-Tree: All Biorenewable, Optical and Radio Frequency Transparent Barrier Nanocoating for Food Packaging (10.1021/acsnano.8b08522) | Poly(propylene 2,5-thiophenedicarboxylate) vs. Poly(propylene 2,5-furandicarboxylate): Two Examples of High Gas Barrier Bio-Based Polyesters (10.3390/polym10070785)"
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,2,gas permeability measurement system,permeation analyzer,best_match,0.97,1,2,original_query,gas permeability tester | permeation analyzer,gas permeability | oxygen permeability | carbon dioxide permeability | nitrogen permeability,The chunks explicitly mention gas permeability measurements for packaged films and comparison of gas barrier properties against PET. This is directly relevant to deciding whether the biobased candidate can replace PET in barrier packaging.,"Poly(propylene 2,5-thiophenedicarboxylate) vs. Poly(propylene 2,5-furandicarboxylate): Two Examples of High Gas Barrier Bio-Based Polyesters (10.3390/polym10070785) | Implementation of High Gas Barrier Laminated Films Based on Cellulose Nanocrystals for Food Flexible Packaging (10.3390/app10093201)"
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,3,haze meter,optical clarity analyzer,best_match,0.95,1,2,original_query,haze measurement instrument | optical haze tester,haze | optical transparency / light scattering,"The query specifically mentions haze/discoloration concerns in transparent packaging. The chunks explicitly report haze values and optical transparency for PET films, so an optical haze measurement instrument is central to assessing transparency suitability.","Crab-on-a-Tree: All Biorenewable, Optical and Radio Frequency Transparent Barrier Nanocoating for Food Packaging (10.1021/acsnano.8b08522) | Nano-Brick Wall Architectures Account for Super Oxygen Barrier PET Film by Quadlayer Assembly of Polyelectrolytes and α-ZrP Nanoplatelets (10.3390/polym10101082)"
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,4,UV-Vis spectrophotometer,optical instrument,acceptable_alternative,0.72,1,2,original_query,visible light transmittance meter | optical transmittance measurement system,visible light transmittance | optical transparency,"The chunks discuss visible-light transparency and negligible loss of transparency, but do not name a specific transmittance instrument. A UV-Vis-type optical system is a reasonable physical tool for assessing transparency, though less directly evidenced than gas/permeation and haze measurements.","Crab-on-a-Tree: All Biorenewable, Optical and Radio Frequency Transparent Barrier Nanocoating for Food Packaging (10.1021/acsnano.8b08522) | Nano-Brick Wall Architectures Account for Super Oxygen Barrier PET Film by Quadlayer Assembly of Polyelectrolytes and α-ZrP Nanoplatelets (10.3390/polym10101082)"
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,1,Oak Ridge Leadership Computing Facility (OLCF) high-performance computing system,high-performance computing system,best_match,0.96,1,1,original_query,OLCF resources | Oak Ridge National Laboratory computing resources | massively parallel computer architectures | distributed memory massively parallel and GPU-accelerated computer architectures,matrix elements | NOCI results | energies | performance/scaling results,"The chunks explicitly state that GronOR is designed for and executed on distributed memory massively parallel GPU-accelerated computer architectures, and that the work used resources of the Oak Ridge Leadership Computing Facility. This is the physical computing system relevant to running the matrix-element calculations.",GronOR: Massively parallel and GPU-accelerated non-orthogonal configuration interaction for large molecular systems. (10.1063/1.5141358)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,1,DMC constant-wavelength neutron diffractometer,neutron diffractometer,best_match,0.98,1,2,original_query,DMC diffractometer | DMC,magnetic Bragg scattering / reflections | reciprocal-space maps | diffuse magnetic scattering,This instrument is explicitly described as being used for single-crystal neutron diffraction experiments that map reciprocal space and identify magnetic Bragg scattering. That directly matches the query about the diffraction setup used after field cooling.,DMCpy: A powder and single crystal neutron diffraction software for the DMC diffractometer (10.1016/j.softx.2025.102237) | Kagome staircase compound Co3V2O8 in an applied magnetic field: Single-crystal neutron diffraction study (10.1103/PhysRevB.82.104409)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,2,D10 single-crystal neutron diffractometer,neutron diffractometer,acceptable_alternative,0.84,1,1,original_query,D10 diffractometer,single-crystal diffraction intensities | Bragg reflections | magnetic structure information,"The chunk explicitly states that single-crystal diffraction was performed on D10 with a 2D microstrip detector. It is relevant to diffraction of magnetic single crystals, though the provided text does not explicitly mention reciprocal-space mapping as clearly as the DMC description.",Kagome staircase compound Co3V2O8 in an applied magnetic field: Single-crystal neutron diffraction study (10.1103/PhysRevB.82.104409)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,3,D3 spin-polarized neutron diffractometer,polarized neutron diffractometer,supporting_but_not_ideal,0.79,1,1,original_query,D3 diffractometer | spin polarized diffractometer D3,polarized neutron intensity asymmetries | accessible Bragg reflections,"This is clearly a diffraction instrument for magnetic single-crystal measurements, but the provided text emphasizes polarized Bragg reflection asymmetries rather than reciprocal-space mapping. It is related but not the clearest match to the user’s requested setup.",Single crystal polarized neutron diffraction study of the magnetic structure of HoFeO3 (10.1088/1361-648X/aa7db9)
fmi_system,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,,True,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",False,1,1,intraoperative near-infrared fluorescence imaging system,intraoperative imaging system,best_match,0.97,1,2,original_query,NIR fluorescence imaging platform | intraoperative fluorescence molecular imaging (FMI) device | fluorescence-guided surgery (FGS) system,real-time fluorescence images | lesion detection | sentinel lymph node mapping | lymphangiography | tissue perfusion assessment,"This is the core hardware class directly relevant to comparing fluorescence molecular imaging platforms for surgery and interventions. The chunks explicitly describe intraoperative NIR fluorescence imaging/FMI devices used in gastrointestinal surgery, sentinel lymph node mapping, lymphangiography, and image-guided resection.",Near-infrared fluorescence imaging-guided targeted drug delivery in gastric tumors: From molecular design to clinical translation (10.1016/j.addr.2026.115891) | Intraoperative fluorescence molecular imaging accelerates the coming of precision surgery in China (10.1007/s00259-022-05730-y)
fmi_system,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,,True,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",False,1,2,compact fluorescence and white light laparoscope imaging system,surgical imaging system,best_match,0.95,1,1,original_query,single-camera fluorescence/white-light surgical imaging system | surgical laparoscope imaging system,simultaneous reflected white-light and fluorescence images | intraoperative visualization of nerves,"This is explicit physical imaging hardware for intraoperative fluorescence-guided surgery. It includes key acquisition elements that a user would report, such as excitation source, illumination source, camera, and laparoscope coupling.",Compact Fluorescence and White Light Imaging System for Intraoperative Visualization of Nerves (10.1117/12.905354)
