mode,query_id,query_type,case_type,run_status,used_decomposition,paper_reranking_enabled,num_subproblems_run,rank,equipment_name,normalized_equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,aliases,measurement_outputs,explanations,match_label,match_label_raw,match_score,matched_prediction_name,matched_expected_name,original_query,source_doi,source_pdf_path,expected_must_have,expected_best_match,expected_acceptable,expected_supporting,expected_not_suitable,error
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,1.0,oxygen transmission rate tester,oxygen transmission rate tester,gas barrier testing instrument,best_match,0.97,1.0,1.0,OTR tester | gas permeation tester for oxygen,oxygen transmission rate (OTR) | gas barrier performance,"The query asks whether a candidate can replace PET in transparent packaging despite poor gas barrier performance. OTR measurement directly evaluates gas barrier performance, which is central to bottle and film packaging suitability.",no_match,no_match,0.0,,,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,2.0,water vapor transmission rate tester,water vapor transmission rate tester,gas/moisture barrier testing instrument,best_match,0.95,1.0,1.0,WVTR tester | moisture permeation tester,water vapor transmission rate (WVTR) | moisture barrier performance,"A PET replacement for packaging must also maintain barrier properties; WVTR testing directly assesses moisture barrier performance, which is relevant to deciding if the material can function in bottle and film packaging.",must_have_or_best_match,best_match,3.0,water vapor transmission rate tester,water vapor transmission rate tester,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,3.0,haze meter,haze meter,optical transparency tester,best_match,0.86,1.0,1.0,haze measurement instrument,haze | optical transparency,The query specifically mentions haze/discoloration concerns and transparent packaging. Haze measurement is directly relevant for determining whether a biobased PET replacement remains sufficiently clear for transparent packaging.,must_have_or_best_match,must_have,3.0,haze meter,haze meter,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,4.0,colorimeter,colorimeter,optical color measurement instrument,acceptable_alternative,0.9,1.0,1.0,colorimetry instrument | color measurement device,brightness index | yellowness index | redness index,"The query mentions discoloration concerns. Colorimetry is directly relevant for quantifying visual discoloration, though it does not assess gas barrier performance and is less direct than haze measurement for transparency.",no_match,no_match,0.0,,,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct_no_rerank_12papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,1.0,surface acoustic wave (SAW) microfluidic chip,surface acoustic wave saw microfluidic chip,microfluidic acoustofluidic separation device,best_match,0.98,1.0,2.0,tilted-angle SAW device | acoustofluidic chip | SAW device,cell separation efficiency | cell trajectory / migration pattern | cell recovery rate,"This is directly aligned with the query: the chunks explicitly describe SAW/acoustofluidic devices as label-free, contactless tools for cell manipulation and separation in microchannels, including separation of cancer cells and other bioparticles.",no_match,no_match,0.0,,,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",,data/interim/pdfs/A_concise_review_of_microfluidic_particle_manipulation_methods.pdf,acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,surface acoustic wave microfluidic device | standing-wave acoustic tweezers setup | holographic acoustic tweezers setup | acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,acoustic separation chip | ultrasound standing-wave microfluidic system,hydrodynamic microfluidic separator | dielectrophoresis microfluidic setup | magnetic tweezers microfluidic setup,optical tweezers system | centrifuge | mass spectrometer,
direct_no_rerank_12papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,2.0,traveling surface acoustic wave (TSAW) microfluidic actuator,traveling surface acoustic wave tsaw microfluidic actuator,acoustofluidic cell manipulation device,best_match,0.88,1.0,1.0,TSAW-based microfluidic method | TSAW-based micropiezoactuator,cell lysis efficiency | nucleic acid/protein extraction efficiency,"The chunks explicitly state that TSAW methods are additive-free and label-free, and they operate by acoustic interaction within a microchannel, matching the need for non-contact handling of fragile cells.",no_match,no_match,0.0,,,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",,data/interim/pdfs/A_concise_review_of_microfluidic_particle_manipulation_methods.pdf,acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,surface acoustic wave microfluidic device | standing-wave acoustic tweezers setup | holographic acoustic tweezers setup | acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,acoustic separation chip | ultrasound standing-wave microfluidic system,hydrodynamic microfluidic separator | dielectrophoresis microfluidic setup | magnetic tweezers microfluidic setup,optical tweezers system | centrifuge | mass spectrometer,
direct_no_rerank_12papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,3.0,standing surface acoustic wave (SSAW) microfluidic system,standing surface acoustic wave ssaw microfluidic system,microfluidic acoustofluidic separation system,acceptable_alternative,0.84,1.0,1.0,SSAW-based microfluidic system | ultrasound-assisted microfluidic cell separation system,cell separation efficiency | cell trajectory patterns | cell recovery rates,This is a strong fit for non-contact microfluidic cell separation. The abstract explicitly says it is designed for separation of circulating tumor cells from red blood cells using SSAWs in a microfluidic channel.,no_match,no_match,0.0,,,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",,data/interim/pdfs/A_concise_review_of_microfluidic_particle_manipulation_methods.pdf,acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,surface acoustic wave microfluidic device | standing-wave acoustic tweezers setup | holographic acoustic tweezers setup | acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,acoustic separation chip | ultrasound standing-wave microfluidic system,hydrodynamic microfluidic separator | dielectrophoresis microfluidic setup | magnetic tweezers microfluidic setup,optical tweezers system | centrifuge | mass spectrometer,
direct_no_rerank_12papers,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,False,1,1.0,atomic force microscope,atomic force microscope,microscopy,best_match,0.98,1.0,1.0,AFM | atomic force microscopy,nanoscale topography | microstructure morphology | fibrous network appearance,The chunks explicitly say AFM was used on fresh and aged lithium grease and that it revealed the thickener microstructure and fibrous network. This directly matches the need to image fresh grease microstructure at the nanoscale before rheology tests.,must_have_or_best_match,must_have,3.0,atomic force microscope,atomic force microscope,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,10.1007/s11249-024-01878-w,data/interim/pdfs/A_Coarse_Grained_Molecular_Dynamics_Model_for_the_Simulation_of_Lubricating_Greases.pdf,atomic force microscope | AFM,atomic force microscope | AFM,,,optical microscope | rheometer | DSC,
direct_no_rerank_12papers,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,,,,,,,,,,,,no_equipment_returned,,0.0,,,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,Quartz crystal microbalance with dissipation monitoring | QCM-D | Quartz crystal microbalance,QCM-D | Surface plasmon resonance | Ellipsometer | Quartz crystal microbalance with dissipation monitoring | Quartz crystal microbalance,Atomic force microscope | Confocal fluorescence microscope | Protein adsorption assay setup,Contact angle goniometer | Zeta potential analyzer | Scanning electron microscope,NMR spectrometer | X-ray diffractometer | Rheometer,
direct_no_rerank_12papers,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,False,1,1.0,fluorescence polarization reader,fluorescence polarization reader,fluorescence analyzer,best_match,0.99,1.0,1.0,FP assay instrument | fluorescence polarization instrument,fluorescence polarization values | binding curves / apparent affinity | competition-induced shifts in polarization,The paper explicitly used an FP binding assay to measure JD–HspA1A binding and CTD competition. This is the direct physical setup for testing whether the J-domain binds Hsp70 and whether CTD competes with that interaction.,must_have_or_best_match,must_have,3.0,fluorescence polarization reader,fluorescence polarization reader,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",10.1038/s41467-021-21147-x,data/interim/pdfs/Regulatory_inter-domain_interactions_influence_Hsp70_recruitment_to_the_DnaJB8_chaperone.pdf,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,multi-mode plate reader with polarization module | fluorescence anisotropy reader | fluorescence polarization reader | FP reader | polarization plate reader,qPCR instrument | standard absorbance plate reader,circular dichroism instrument | dynamic light scattering plate reader | NMR spectrometer,
