pdf_path,pdf_filename,doi,study_domain,study_goal,paper_processing_status,paper_processing_error,equipment_name,aliases,manufacturer,model,equipment_type,equipment_role,short_description,typical_applications,measurement_outputs,paper_specific_use,sample_context,shared_or_local,contact_person,used_in_study,certainty,confidence_score,evidence_text,location_type,notes
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,cyclic voltammetry system,CV,,,electrochemistry,supporting,Measures electrochemical properties such as energy levels from redox behavior.,electrochemical characterization | energy level estimation | redox analysis,current-voltage curves | electrochemical potentials | energy level estimates,"Used to measure the energy levels of BTR-Cl, Y6, and PC71BM.",materials in the active layer,,,True,explicit,0.93,"The energy levels of each material used in the active layer measured by cyclic voltammetry (CV) | energy levels of BTR-Cl, Y6 and PC71BM",main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,ellipsometer,ellipsometry measurements,,,imaging,supporting,Measures optical constants and thin-film thickness-related optical properties.,thin film optical characterization | refractive index measurement | extinction coefficient measurement,refractive index | extinction coefficient | optical constants,Provided refractive index and extinction coefficient data used in optical modeling of the device current density.,thin films / active layers,,Huirong Su,True,explicit,0.95,the JSC was estimated by optical modeling with refractive index and extinction coefficient from ellipsometry measurements | The authors thank Huirong Su from Genuine Optronics Ltd for the measurements of ellipsometry and data analysis.,main_text,The paper credits ellipsometry measurements and data analysis to Huirong Su from Genuine Optronics Ltd.
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,transient photocurrent measurement setup,TPC,,,testing system,primary,Measures photocurrent transients to probe charge extraction dynamics in devices.,charge extraction studies | photocurrent transient analysis | device dynamics characterization,transient photocurrent curves | charge extraction time,Used to compare charge extraction in control and optimized solar-cell devices under laser perturbation.,organic solar cell devices,,,True,explicit,0.97,"we performed these measurements to investigate the charge extraction and recombination patterns of the control and optimized devices | As depicted in TPC (Fig. 2c), the charge extraction time of the control and optimized devices are 0.88 ms and 0.86 ms",main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,transient photovoltage measurement setup,TPV,,,testing system,primary,Measures voltage decay transients to probe charge recombination kinetics in devices.,recombination kinetics analysis | carrier lifetime measurement | photovoltaic device transient characterization,transient photovoltage decay curves | carrier lifetime,Used to quantify carrier lifetime and recombination differences between control and optimized devices.,organic solar cell devices,,,True,explicit,0.98,transient photovoltage (TPV) measurements record the voltage decay of a device kept at open circuit | we performed these measurements to investigate the charge extraction and recombination patterns of the control and optimized devices,main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,space-charge-limited current measurement setup,SCLC,,,testing system,primary,Measures dark current to extract charge-carrier mobility in device structures.,carrier mobility measurement | dark current analysis | charge transport characterization,dark current density | electron mobility | hole mobility,Used to derive electron and hole mobilities for active layers with and without PC71BM.,electron-only and hole-only devices with active layers,,,True,explicit,0.96,"The electron and hole mobility were derived by fitting the dark current density with the space charge limited current (SCLC) model. | To get the dark current density, the electron only and hole only devices ... were fabricated",main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,atomic force microscope,AFM,,,microscopy,primary,Imaging instrument for measuring surface topography and roughness.,surface morphology analysis | roughness measurement | thin-film topography imaging,AFM images | root-mean-square roughness,Used to characterize the surface morphology of thin films with and without PC71BM.,thin films,,,True,explicit,0.99,"The surface and bulk morphology of the thin films w/o and with PC71BM were characterized by atomic force microscopy (AFM) | As demonstrated in Fig. 3a and b, the films show various extents of aggregation.",main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,transmission electron microscope,TEM,,,microscopy,primary,Electron microscope for imaging bulk/internal morphology and phase structure.,bulk morphology imaging | nanostructure analysis | phase morphology characterization,TEM images | phase contrast morphology,Used to examine bulk morphology and mixing of the thin films with and without PC71BM.,thin films,,,True,explicit,0.99,"The surface and bulk morphology of the thin films w/o and with PC71BM were characterized by atomic force microscopy (AFM) and transmission electron microscopy (TEM), respectively. | These features are observed in the TEM images (Fig. 3c and d) as well.",main_text,
data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,10.1039/d0ee00714e,organic solar cells,To improve the fill factor and efficiency of all-small-molecule organic solar cells by adding a fullerene derivative and analyzing charge transport and morphology.,equipment_extracted,,grazing-incidence X-ray scattering system,grazing incident X-ray scattering | GIWAXS | GISAXS,,,beamline,primary,"X-ray scattering setup for probing molecular packing, orientation, and nanoscale phase structure in thin films.",thin-film crystallinity analysis | molecular packing characterization | nanoscale morphology analysis,2D scattering patterns | in-plane and out-of-plane profiles | packing peaks | domain size estimates,"Used to study crystalline features, molecular orientation, and nanoscale phase segregation of active-layer films.",active-layer thin films,Pohang Accelerator Laboratory,Dr Manish Kumar,True,explicit,0.98,The crystalline features and nanoscale phase segregations of the thin films w/o and with PC71BM were examined by grazing incident X-ray scattering | The authors thank Dr Manish Kumar for the measurements of GIWAXS at Pohang Accelerator Laboratory.,main_text,The text mentions both GIWAXS and GISAXS measurements; these are grouped as grazing-incidence X-ray scattering.
data/interim/pdfs/A_Coarse_Grained_Molecular_Dynamics_Model_for_the_Simulation_of_Lubricating_Greases.pdf,A_Coarse_Grained_Molecular_Dynamics_Model_for_the_Simulation_of_Lubricating_Greases.pdf,10.1007/s11249-024-01878-w,computational tribology/rheology,To simulate the mechanical and rheological behavior of lubricating greases using a coarse-grained molecular dynamics model.,equipment_extracted,,atomic force microscope,AFM,,,microscopy,supporting,Microscope used to image grease microstructure at the nanoscale.,surface topography imaging | nanoscale morphology characterization | microstructure observation,AFM images | surface/microstructure morphology,Used to show a typical image of the fresh lithium grease microstructure.,fresh lithium grease,,,True,explicit,0.91,A typical atomic force micro- scope image showing the microstructure of a lithium grease is presented in Fig. 1. | Fig. 1 Typical AFM image of a fresh lithium grease.,main_text,
data/interim/pdfs/A_Predictive_Model_for_the_Pd-Catalyzed_Site-Selective_Oxidation_of_Diols.pdf,A_Predictive_Model_for_the_Pd-Catalyzed_Site-Selective_Oxidation_of_Diols.pdf,10.1002/chem.202300318,organic chemistry / catalysis,To develop and validate a predictive model for site-selective palladium-catalyzed oxidation of diols and related polyols.,equipment_extracted,,nuclear magnetic resonance spectrometer,1H NMR | 13C NMR | NMR tube | NMR,,,spectroscopy,primary,Instrument used to monitor reaction progress and identify oxidation products by NMR spectroscopy.,structure elucidation | reaction monitoring | product quantification | selectivity determination,1H NMR spectra | 13C NMR spectra | conversion | product ratios | NMR yields,"Used to measure conversion, product ratios, and characterize oxidation products throughout the competition and substrate oxidation experiments.","oxidation reaction mixtures of diols, glycosides, quinic acid, melibiose, and steroids in DMSO-d6",,,True,explicit,0.99,A 1H NMR spectrum was measured (d1 = 60) to determine the ratio of DMSO: starting material | the mixture was analyzed by NMR to determine the selectivity and to characterize the products by 1H- and 13C NMR,main_text,The paper repeatedly uses NMR as the analytical method for monitoring and characterization; the NMR tube is a consumable accessory and not extracted as standalone equipment.
