input_query_id,input_source_pdf_path,input_source_doi,input_source_is_review_paper,original_query,used_decomposition,num_subproblems_run,rank,equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,supporting_subproblem_ids,aliases,measurement_outputs,explanations,supporting_papers
antifouling_01,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,,True,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",False,1,1,Quartz crystal microbalance with dissipation monitoring,surface mass/adsorption analyzer,best_match,0.94,1,1,original_query,QCM-D,adsorbed mass / frequency shift | dissipation change | real-time binding/adsorption kinetics,"This is directly useful for verifying whether an antifouling coating prevents protein attachment. The chunk explicitly says stable layer formation was confirmed by QCM-D analysis, indicating its use in coating evaluation.",Synergistic coating of Laponite swollen-layer and heparin composite for enhanced antifouling and antithrombotic performance. (10.1016/j.carbpol.2024.122875)
antifouling_01,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,,True,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",False,1,2,Capillary electrophoresis system,separation/analytical instrument,acceptable_alternative,0.82,1,1,original_query,CE | capillary electrophoresis,protein separation profile | electropherogram | migration behavior / separation performance,"Relevant because the coating is explicitly used in capillary electrophoresis and its performance is assessed by protein separation. However, it is less direct than a dedicated adsorption assay for verifying antifouling against proteins and does not directly test cell attachment.",Novel antifouling polymer with self-cleaning efficiency as surface coating for protein analysis by electrophoresis. (10.1016/j.talanta.2020.121493)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,1,Fourier Transform Infrared (FTIR) spectrometer with ATR sampling module,spectrometer,supporting_but_not_ideal,0.78,1,1,original_query,ATR-FTIR | FTIR,infrared spectra | polymer/material identity,"The chunks explicitly describe FTIR/ATR-FTIR as a physical instrument used to identify the polymer composition of PET packaging. It is useful for confirming whether a candidate is chemically PET-like or contains other polymers, but it does not directly measure gas barrier, haze, or discoloration, so it is only supporting evidence for suitability.",Strategies to enhance the circularity of non-bottle PET packaging waste based on a detailed material characterisation. (10.1016/j.wasman.2024.06.016)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,2,Differential Scanning Calorimeter,thermal analyzer,supporting_but_not_ideal,0.72,1,1,original_query,DSC | differential scanning calorimetry instrument,melting transitions | crystallization transitions | thermal properties,"DSC is explicitly mentioned as a characterization tool for PET packaging. It can help assess thermal behavior relevant to processing and material comparison, but it does not directly measure gas barrier or optical haze/discoloration, so it is not the best match for the query.",Strategies to enhance the circularity of non-bottle PET packaging waste based on a detailed material characterisation. (10.1016/j.wasman.2024.06.016)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,1,time-of-flight secondary ion mass spectrometer,mass spectrometer / imaging mass spectrometry instrument,best_match,0.99,1,2,original_query,TOF-SIMS | secondary ion mass spectrometry | time-of-flight secondary ion mass spectrometry,spatially resolved ion images of cardiolipin and phosphatidylethanolamine fragments | subcellular chemical distribution maps,"This instrument is explicitly reported to image cardiolipins and phosphatidylethanolamines at the subcellular level in cells and tissues, directly matching the user's need to visualize these lipids in individual cells and organelles rather than only in whole tissue sections.",Secondary-Ion Mass Spectrometry Images Cardiolipins and Phosphatidylethanolamines at the Subcellular Level (10.1002/anie.201814256) | Chemical Imaging of Cardiac Cell and Tissue by Using Secondary Ion Mass Spectrometry (10.1007/s11307-010-0460-4)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,2,stimulated Raman scattering microscopy,optical imaging microscope,acceptable_alternative,0.89,1,1,original_query,SRS microscopy | PRM-SRS microscopy | hyperspectral PRM-SRS microscopy,subcellular lipid distribution images | hyperspectral Raman-based lipid subtype maps,"The chunks state that PRM-SRS microscopy provides subcellular resolution and can visualize subcellular distributions of cardiolipin and phosphatidylethanolamine. It is relevant for subcellular lipid visualization, though the evidence is less directly centered on CL and PE than TOF-SIMS.",Multi-molecular hyperspectral PRM-SRS microscopy (10.1038/s41467-024-45576-6)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,1,Summit supercomputer,supercomputer,best_match,0.99,1,2,original_query,200PF Summit supercomputer | Summit | Oak Ridge Leadership Computing Facility Summit,matrix-element calculations | nonorthogonal configuration interaction results,"The chunks explicitly state that GronOR calculations were run on Summit, described as the successor supercomputer used by the authors for the project. This directly answers which physical computing system was used.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions. (10.1021/acs.jctc.2c00266) | GronOR Nonorthogonal Configuration Interaction Calculations at Exascale (10.1016/BS.ARCC.2018.06.003)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,2,Titan supercomputer,supercomputer,acceptable_alternative,0.83,1,2,original_query,27PF Titan supercomputer | Titan,development and execution of GronOR calculations | parallel GPU-accelerated computation,"The text says the first version of GronOR was developed on Titan. This is relevant physical computing hardware, but the query asks which system the authors used to run the matrix-element calculations, and Summit is the more directly indicated system in the provided evidence.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions. (10.1021/acs.jctc.2c00266) | GronOR Nonorthogonal Configuration Interaction Calculations at Exascale (10.1016/BS.ARCC.2018.06.003)
fmi_system,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,,True,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",False,1,1,fluorescence imaging system,imaging system,best_match,0.98,1,1,original_query,fluorescence molecular imaging system | FMI system | commercial fluorescence imaging system,fluorescence images | captured emitted fluorescence signal | image acquisition parameters,This is the central physical equipment for comparing fluorescence molecular imaging platforms. The chunks explicitly state that fluorescence imaging systems are used to visualize fluorescent imaging agents and that reporting should include system name/version and operational parameters.,"Reflect: reporting guidelines for preclinical, translational and clinical fluorescence molecular imaging studies (10.1038/s44303-025-00125-8)"
fmi_system,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,,True,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",False,1,2,closed-field imaging system,imaging system,best_match,0.94,1,1,original_query,closed-field fluorescence imaging system | closed-field imager,intraoperative fluorescence images | ex vivo specimen images | margin assessment images,"This is a specific fluorescence molecular imaging platform used in surgery, directly relevant to comparing intraoperative hardware and the acquisition conditions to report.",EGFR-targeted fluorescence molecular imaging for intraoperative margin assessment in oral cancer patients: a phase II trial (10.1038/s41467-023-40324-8)
