input_query_id,input_source_pdf_path,input_source_doi,input_source_is_review_paper,original_query,used_decomposition,num_subproblems_run,rank,equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,supporting_subproblem_ids,aliases,measurement_outputs,explanations,supporting_papers
antifouling_01,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,,True,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",False,1,1,QCM-D,surface mass-sensing instrument,best_match,0.97,1,1,original_query,quartz crystal microbalance with dissipation monitoring,adsorbed mass vs time | dissipation/viscoelastic response | surface adsorption kinetics,"This is directly relevant for verifying whether an antifouling coating resists protein attachment. The chunk explicitly says the coating formation was confirmed by QCM-D analysis, indicating use of the instrument in a coating/anti-attachment context.",Synergistic coating of Laponite swollen-layer and heparin composite for enhanced antifouling and antithrombotic performance. (10.1016/j.carbpol.2024.122875)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,1,water vapor transmission rate tester,barrier permeability analyzer,best_match,0.97,1,3,original_query,WVTR tester | water vapor barrier measurement system,water vapor transmission rate | barrier performance improvement or reduction,"The query asks whether a replacement can work in transparent packaging despite poor gas barrier performance. The chunks explicitly report WVTR measurements and barrier performance for PET-based films, making a WVTR tester directly relevant for evaluating packaging barrier suitability.","Transparent, Stretchable, and Self‐Healable Gas Barrier Films with 2D Nanoplatelets for Flexible Electronic Device Packaging Applications (10.1002/admi.202202093) | Organic-Inorganic Hybrid Planarization and Water Vapor Barrier Coatings on Cellulose Nanofibrils Substrates (10.3389/fchem.2018.00571) | One-layer water vapor poly(olefin) barriers compete metal sputtering onto flexible substrates (10.1016/j.polymer.2020.122487)"
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,2,oxygen transmission rate tester,gas permeability analyzer,best_match,0.95,1,2,original_query,OTR tester | oxygen barrier measurement system,oxygen transmission rate | gas barrier performance,"The query specifically mentions poor gas barrier performance, and the chunks explicitly discuss oxygen transmission rate and target permeance values for packaging. An OTR tester is directly suitable for deciding if a candidate can replace PET in transparent packaging.",Organic-Inorganic Hybrid Planarization and Water Vapor Barrier Coatings on Cellulose Nanofibrils Substrates (10.3389/fchem.2018.00571) | A Hydrotalcite-Based PET Composites with Enhanced Properties for Liquid Milk Packaging Applications (10.3390/ma16051857)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,3,spectrophotometer,optical characterization instrument,best_match,0.72,1,3,original_query,UV-Vis spectrophotometer | haze meter,transmittance | haze | color/discoloration,"The query asks about haze/discoloration in transparent packaging. While the provided chunks do not explicitly name a haze meter, they repeatedly emphasize transparency and opaque/hazy materials, so optical measurement equipment is needed to assess whether the material remains transparent enough to replace PET.","Transparent, Stretchable, and Self‐Healable Gas Barrier Films with 2D Nanoplatelets for Flexible Electronic Device Packaging Applications (10.1002/admi.202202093) | Strategies to enhance the circularity of non-bottle PET packaging waste based on a detailed material characterisation (10.1016/j.wasman.2024.06.016) | Organic-Inorganic Hybrid Planarization and Water Vapor Barrier Coatings on Cellulose Nanofibrils Substrates (10.3389/fchem.2018.00571)"
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,4,differential scanning calorimeter,thermal analysis instrument,supporting_but_not_ideal,0.63,1,1,original_query,DSC,glass transition temperature | melting behavior | crystallinity,"DSC is explicitly mentioned for material characterization of PET packaging, but it does not directly assess gas barrier or transparency. It can support broader suitability assessment, but it is not the main instrument for the query.",Strategies to enhance the circularity of non-bottle PET packaging waste based on a detailed material characterisation (10.1016/j.wasman.2024.06.016)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,5,attenuated total reflection Fourier transform infrared spectrometer,spectroscopic identification instrument,supporting_but_not_ideal,0.61,1,1,original_query,ATR-FTIR | FTIR spectrometer | Bruker Alpha FTIR with ATR diamond module,infrared spectrum | polymer identity | chemical fingerprint,"ATR-FTIR is explicitly mentioned in the chunks for identifying constituent polymers in PET packaging. It is useful for confirming what the candidate material is, but it does not directly measure gas barrier or haze/discoloration.",Strategies to enhance the circularity of non-bottle PET packaging waste based on a detailed material characterisation (10.1016/j.wasman.2024.06.016)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,1,Oak Ridge Leadership Computing Facility supercomputers,supercomputer / high-performance computing system,best_match,0.99,1,1,original_query,Titan supercomputer | Summit supercomputer | OLCF supercomputers,matrix-element calculations | nonorthogonal configuration interaction results | parallel GPU-accelerated computation,"The chunks explicitly say GronOR was developed and benchmarked on Titan and Summit at OLCF, and that the program was designed for massively parallel supercomputer architectures. These are the physical computing systems used for the matrix-element calculations, directly answering the query.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions (10.1021/acs.jctc.2c00266)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,1,D3 spin-polarized neutron diffractometer,polarized neutron single-crystal diffractometer,best_match,0.99,1,1,original_query,spin polarized difractometer D3 | D3 diffractometer,Bragg reflection intensities | polarization asymmetries | magnetic structure information,"This is explicitly described as the instrument used for polarized neutron diffraction on single crystals, and the measurement involved Bragg reflections under field cooling. It directly matches the need to determine magnetic Bragg reflections.",Single crystal polarized neutron diffraction study of the magnetic structure of HoFeO3 (10.1088/1361-648X/aa7db9)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,2,D10 single-crystal neutron diffractometer,single-crystal neutron diffractometer,acceptable_alternative,0.84,1,1,original_query,D10 diffractometer | single-crystal diffraction on D10,single-crystal diffraction profiles | magnetic reflection intensities | scan data,"This is clearly a physical diffraction instrument used for single-crystal neutron diffraction, but the excerpt focuses more on diffraction profiles and field scans than on reciprocal-space mapping. It is still relevant as an alternative diffraction setup.",Kagome staircase compound Co3V2O8 in an applied magnetic field: Single-crystal neutron diffraction study (10.1103/PhysRevB.82.104409)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,3,POLI diffractometer with CRYOPAD and 3He spin filters,polarized neutron diffraction instrument,acceptable_alternative,0.79,1,1,original_query,POLI at MLZ | CRYOPAD on POLI | spherical neutron polarimetry setup,magnetic Bragg reflections | polarization matrices | spherical neutron polarimetry data,"This is a specialized single-crystal neutron diffraction setup for magnetic Bragg reflections and can support reciprocal-space work, but the excerpt emphasizes magnetic chirality and polarization analysis rather than field-cooled mapping specifically.",Direct control of magnetic chirality in NdMn2O5 by external electric field (10.1103/PhysRevB.101.064425)
