mode,query_id,query_type,case_type,run_status,used_decomposition,num_subproblems_run,rank,equipment_name,normalized_equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,aliases,measurement_outputs,explanations,match_label,match_label_raw,match_score,matched_prediction_name,matched_expected_name,original_query,source_doi,source_pdf_path,expected_must_have,expected_best_match,expected_acceptable,expected_supporting,expected_not_suitable,error
direct,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1.0,1.0,Fourier Transform Infrared (FTIR) spectrometer with ATR sampling module,fourier transform infrared ftir spectrometer with atr sampling module,spectrometer,supporting_but_not_ideal,0.78,1.0,1.0,ATR-FTIR | FTIR,infrared spectra | polymer/material identity,"The chunks explicitly describe FTIR/ATR-FTIR as a physical instrument used to identify the polymer composition of PET packaging. It is useful for confirming whether a candidate is chemically PET-like or contains other polymers, but it does not directly measure gas barrier, haze, or discoloration, so it is only supporting evidence for suitability.",no_match,no_match,0,,,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1.0,2.0,Differential Scanning Calorimeter,differential scanning calorimeter,thermal analyzer,supporting_but_not_ideal,0.72,1.0,1.0,DSC | differential scanning calorimetry instrument,melting transitions | crystallization transitions | thermal properties,"DSC is explicitly mentioned as a characterization tool for PET packaging. It can help assess thermal behavior relevant to processing and material comparison, but it does not directly measure gas barrier or optical haze/discoloration, so it is not the best match for the query.",supporting_but_not_ideal,supporting_but_not_ideal,1,DSC,DSC,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,gas permeability tester | haze meter | gas transmission tester | permeation analyzer | haze tester,oxygen permeability analyzer | carbon dioxide permeability analyzer | water vapor transmission rate tester | haze meter | haze tester,permeation analyzer | gas transmission tester | spectrophotometer | gas permeability tester,DSC | polarized optical microscope,FTIR spectrometer | rheometer | HPLC,
direct,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,1.0,1.0,surface acoustic wave microfluidic system,surface acoustic wave microfluidic system,microfluidic acoustic manipulation system,best_match,0.98,1.0,4.0,SAW microfluidic device | acoustic microfluidic device | surface acoustic waves (SAWs) | focused traveling surface acoustic wave (FTSAW) system,cell separation | cell detachment | cell focusing | cell collection at outlets | particle washing/manipulation,"The chunks explicitly describe SAW-based systems as label-free and non-contact methods for cell detachment, sorting, manipulation, washing, and focusing in microfluidic channels, which matches the user's need for fragile cells.",must_have_or_best_match,must_have,3,SAW microfluidic device,surface acoustic wave (SAW) microfluidic device,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",,data/interim/pdfs/A_concise_review_of_microfluidic_particle_manipulation_methods.pdf,acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,surface acoustic wave microfluidic device | standing-wave acoustic tweezers setup | holographic acoustic tweezers setup | acoustic tweezers system | ultrasonic standing-wave microfluidic system | surface acoustic wave (SAW) microfluidic device,acoustic separation chip | ultrasound standing-wave microfluidic system,hydrodynamic microfluidic separator | dielectrophoresis microfluidic setup | magnetic tweezers microfluidic setup,optical tweezers system | centrifuge | mass spectrometer,
direct,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,1.0,1.0,scanning electron microscope,scanning electron microscope,electron microscope,best_match,0.88,1.0,1.0,SEM,microstructure images | morphology / fibrous network visualization,"The query asks for nanoscale imaging of fresh lithium grease microstructure to confirm a fibrous thickener network. The chunks explicitly mention scanning electron microscopy as a characterization tool for microstructure/morphology, making SEM the clearest physical instrument relevant to this task.",no_match,no_match,0,,,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,10.1007/s11249-024-01878-w,data/interim/pdfs/A_Coarse_Grained_Molecular_Dynamics_Model_for_the_Simulation_of_Lubricating_Greases.pdf,atomic force microscope | AFM,atomic force microscope | AFM,,,optical microscope | rheometer | DSC,
direct,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,1.0,2.0,quantitative microstructure analysis method/instrumentation for lithium-based grease,quantitative microstructure analysis method instrumentation for lithium based grease,analytical imaging workflow,supporting_but_not_ideal,0.28,1.0,1.0,microstructure analysis,microstructure quantification | structural characterization,"The title indicates a paper on microstructure analysis of lithium-based grease, which is directionally relevant, but the provided evidence is metadata-only and does not explicitly name the physical instrument. This is therefore only weak supporting evidence, not a reliably identifiable piece of equipment.",no_match,no_match,0,,,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,10.1007/s11249-024-01878-w,data/interim/pdfs/A_Coarse_Grained_Molecular_Dynamics_Model_for_the_Simulation_of_Lubricating_Greases.pdf,atomic force microscope | AFM,atomic force microscope | AFM,,,optical microscope | rheometer | DSC,
direct,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1.0,1.0,Quartz crystal microbalance with dissipation monitoring,quartz crystal microbalance with dissipation monitoring,surface mass/adsorption analyzer,best_match,0.94,1.0,1.0,QCM-D,adsorbed mass / frequency shift | dissipation change | real-time binding/adsorption kinetics,"This is directly useful for verifying whether an antifouling coating prevents protein attachment. The chunk explicitly says stable layer formation was confirmed by QCM-D analysis, indicating its use in coating evaluation.",must_have_or_best_match,must_have,3,Quartz crystal microbalance with dissipation monitoring,Quartz crystal microbalance with dissipation monitoring,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,Quartz crystal microbalance with dissipation monitoring | QCM-D | Quartz crystal microbalance,QCM-D | Surface plasmon resonance | Ellipsometer | Quartz crystal microbalance with dissipation monitoring | Quartz crystal microbalance,Atomic force microscope | Confocal fluorescence microscope | Protein adsorption assay setup,Contact angle goniometer | Zeta potential analyzer | Scanning electron microscope,NMR spectrometer | X-ray diffractometer | Rheometer,
direct,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1.0,2.0,Capillary electrophoresis system,capillary electrophoresis system,separation/analytical instrument,acceptable_alternative,0.82,1.0,1.0,CE | capillary electrophoresis,protein separation profile | electropherogram | migration behavior / separation performance,"Relevant because the coating is explicitly used in capillary electrophoresis and its performance is assessed by protein separation. However, it is less direct than a dedicated adsorption assay for verifying antifouling against proteins and does not directly test cell attachment.",no_match,no_match,0,,,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",,data/interim/pdfs/Recent_Developments_and_Practical_Feasibility_of_Polymer-Based_Antifouling_Coatings.pdf,Quartz crystal microbalance with dissipation monitoring | QCM-D | Quartz crystal microbalance,QCM-D | Surface plasmon resonance | Ellipsometer | Quartz crystal microbalance with dissipation monitoring | Quartz crystal microbalance,Atomic force microscope | Confocal fluorescence microscope | Protein adsorption assay setup,Contact angle goniometer | Zeta potential analyzer | Scanning electron microscope,NMR spectrometer | X-ray diffractometer | Rheometer,
direct,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,1.0,1.0,fluorescence polarization assay instrument,fluorescence polarization assay instrument,fluorescence spectrometer / plate-based binding assay reader,best_match,0.99,1.0,1.0,FP assay setup | polarization reader,fluorescence polarization (mP) | binding curves / apparent affinity | competition shifts in polarization signal,The paper explicitly states that the JD–HspA1A interaction and CTD competition were tested using an FP binding assay. This is the same physical assay needed to assess direct binding of a DnaJB8 J-domain construct to Hsp70 and competition by CTD.,must_have_or_best_match,must_have,3,polarization reader,fluorescence polarization reader,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",10.1038/s41467-021-21147-x,data/interim/pdfs/Regulatory_inter-domain_interactions_influence_Hsp70_recruitment_to_the_DnaJB8_chaperone.pdf,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,multi-mode plate reader with polarization module | fluorescence anisotropy reader | fluorescence polarization reader | FP reader | polarization plate reader,qPCR instrument | standard absorbance plate reader,circular dichroism instrument | dynamic light scattering plate reader | NMR spectrometer,
direct,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,1.0,2.0,fluorescein-labeled JD construct,fluorescein labeled jd construct,fluorescently labeled protein probe,supporting_but_not_ideal,0.94,1.0,1.0,FITC-labeled JD | JD 1–82-FITC,polarization changes upon binding | competition-dependent signal shifts,This is central to the assay workflow but is not standalone specialized physical equipment. It is explicitly required for the FP binding setup used in the paper.,no_match,no_match,0,,,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",10.1038/s41467-021-21147-x,data/interim/pdfs/Regulatory_inter-domain_interactions_influence_Hsp70_recruitment_to_the_DnaJB8_chaperone.pdf,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,multi-mode plate reader with polarization module | fluorescence anisotropy reader | fluorescence polarization reader | FP reader | polarization plate reader,qPCR instrument | standard absorbance plate reader,circular dichroism instrument | dynamic light scattering plate reader | NMR spectrometer,
direct,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1.0,1.0,fluorescence imaging system,fluorescence imaging system,imaging system,best_match,0.98,1.0,1.0,fluorescence molecular imaging system | FMI system | commercial fluorescence imaging system,fluorescence images | captured emitted fluorescence signal | image acquisition parameters,This is the central physical equipment for comparing fluorescence molecular imaging platforms. The chunks explicitly state that fluorescence imaging systems are used to visualize fluorescent imaging agents and that reporting should include system name/version and operational parameters.,must_have_or_best_match,must_have,3,fluorescence imaging system,fluorescence imaging system,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,fluorescence imaging system | fluorescence camera | FMI system | fluorescence-guided surgery system,intraoperative fluorescence imaging system | fluorescence molecular imaging system | fluorescence-guided surgery system | fluorescence imaging system | fluorescence camera | FMI system,fluorescence camera | near-infrared fluorescence imaging system | endoscopic fluorescence imaging system | fluorescence imaging system | FMI system | fluorescence-guided surgery system,RGB camera | standard surgical light source | white light camera,mass spectrometer | CT scanner | confocal microscope,
