mode,query_id,query_type,case_type,run_status,used_decomposition,num_subproblems_run,num_returned_equipment,original_query,top1_equipment,top1_match_label,top1_match_score,best_match_score_any_rank,best_match_label_any_rank,strict_top1_correct,relaxed_top1_correct,strict_found_anywhere,relaxed_found_anywhere,error,ndcg_at_1,strict_top3_correct,relaxed_top3_correct,ndcg_at_3,strict_top5_correct,relaxed_top5_correct,ndcg_at_5
direct,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,2,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",Fourier Transform Infrared (FTIR) spectrometer with ATR sampling module,no_match,0,1,supporting_but_not_ideal,False,False,False,False,,0.0,False,False,0.04229741585226647,False,False,0.030569466390646793
direct,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,1,1,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",surface acoustic wave microfluidic system,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,1,2,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,scanning electron microscope,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,2,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",Quartz crystal microbalance with dissipation monitoring,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,1,2,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",fluorescence polarization assay instrument,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,4,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",fluorescence imaging system,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,1.0,True,True,0.7227265726449517
direct,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,False,1,1,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,atomic force microscope,supporting_but_not_ideal,1,1,supporting_but_not_ideal,False,False,False,False,,0.14285714285714285,False,False,0.06703981800325093,False,False,0.04845145789623087
direct,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,1,1,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",atom probe tomography system,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,2,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",oxygen transmission rate tester,no_match,0,3,must_have_or_best_match,False,False,True,True,,0.0,True,True,0.2960819109658653,True,True,0.21398626473452756
direct,small_vesicle_nanomech,method_selection,literature_supported_inventory_uncertain,completed,False,1,0,I have submicrometer extracellular vesicles and small liposomes and need a physical instrument that can measure their stiffness or bending rigidity without relying on optical observation alone.,,no_equipment_returned,0,0,no_equipment_returned,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct,sr3fe2o7_neutron_diffraction_setup,specific,paper_grounded_local_candidate,completed,False,1,0,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,,no_equipment_returned,0,0,no_equipment_returned,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct,subcellular_lipid_map,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,2,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",time-of-flight secondary ion mass spectrometer,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct,summit-noci-001,specific,paper_grounded_local_candidate,completed,False,1,2,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,Summit supercomputer,acceptable_alternative,2,2,acceptable_alternative,False,True,False,True,,1.0,False,True,0.8262346571285599,False,True,0.8262346571285599
