query_id,rag_query_type,rag_original_query,delta_llm_minus_rag_ndcg_at_3,rag_ndcg_at_3,llm_only_ndcg_at_3,rag_top1_equipment,rag_top1_match_label,llm_top1_equipment,llm_top1_match_label,rag_match_labels,llm_match_labels,rag_matched_expected_names,llm_matched_expected_names
psc_morphology,process_optimization,"My perovskite absorber is nonuniform with pinholes and grain boundaries, and device performance is limited by shunts and poor moisture resistance. I need equipment to check whether interface engineering is improving film formation.",1.0,0.0,1.0,GIWAXS instrument,no_match,Scanning electron microscope,must_have,"['no_match', 'no_match', 'no_match']","['must_have', 'best_match', 'best_match', 'acceptable_alternatives', 'no_match']","[None, None, None]","['scanning electron microscope', 'atomic force microscope', 'atomic force microscope', 'optical microscope', None]"
abh2022_rheometer,specific,"I need to measure the rheological properties of the Newtonian and shear-thinning fluids used for soft-robot locomotion experiments, including viscosity under controlled shear conditions.",1.0,0.0,1.0,,no_equipment_returned,Rotational rheometer,best_match,[],"['best_match', 'best_match', 'best_match']",[],"['rheometer', 'rheometer', 'rheometer']"
smfret_confocal_setup,specific,A lab wants to reproduce the paper’s solution-phase single-molecule FRET measurements on FRET-labeled α-synuclein and needs the core instrument setup used to record burst traces and photon arrival times.,1.0,0.0,1.0,single-molecule fluorescence spectroscopy setup for free-diffusion burst measurements,no_match,Confocal single-molecule fluorescence microscopy system,must_have,['no_match'],"['must_have', 'must_have', 'best_match', 'no_match']",[None],"['confocal microscope', 'TCSPC module', 'single-photon avalanche diode detector', None]"
metavalent_bonding_probe,method_selection,I want to distinguish metavalent solids like GeTe from hypervalent molecular crystals such as XeF2 by directly probing the electronic states and bonding near the Fermi level.,0.8659203639934981,0.0,0.8659203639934981,scanning tunneling microscope with scanning tunneling spectroscopy,no_match,Angle-resolved photoemission spectroscopy system,must_have,"['no_match', 'no_match']","['must_have', 'best_match', 'acceptable_alternatives', 'no_match', 'acceptable_alternatives']","[None, None]","['ARPES', 'X-ray photoelectron spectroscopy (XPS)', 'UPS', None, 'X-ray absorption spectroscopy (XAS)']"
pd-noise-nep,method_selection,"I need to benchmark noise, NEP, and detectivity of a photodetector experimentally rather than relying on white-noise estimates.",0.8659203639934981,0.0,0.8659203639934981,low-noise transimpedance amplifier,no_match,Low-noise optical detector characterization system,must_have,"['no_match', 'no_match', 'no_match', 'no_match']","['must_have', 'best_match', 'acceptable_alternatives', 'best_match', 'no_match']","[None, None, None, None]","['noise power spectral density measurement setup', 'lock-in amplifier', 'current preamplifier', 'spectrum analyzer', None]"
eq_fet_transport,specific,"I need to characterize the electrical transport of sulfur-rich PbS quantum dot films in field-effect transistor devices, including how the source-drain current and mobility change after ligand exchange and annealing.",0.8124242481930318,0.0,0.8124242481930318,field-effect transistor (FET),no_match,semiconductor parameter analyzer,must_have,"['no_match', 'no_match']","['must_have', 'supporting_but_not_ideal', 'no_match', 'no_match', 'no_match']","[None, None]","[""{'name': 'semiconductor parameter analyzer', 'synonyms': ['parameter analyzer', 'Agilent E5262A']}"", ""{'name': 'probe station', 'synonyms': ['electrical probe station']}"", None, None, None]"
pv_tandem_eqe,method_selection,We are optimizing a monolithic tandem solar cell and need to verify whether the top and bottom subcells are properly bandgap-matched. Which physical setup should we buy for the key measurements?,0.7988805459902473,0.0,0.7988805459902473,electroluminescence imaging setup,no_match,solar cell EQE measurement system,must_have,['no_match'],"['must_have', 'best_match', 'supporting_but_not_ideal', 'no_match']",[None],"['EQE system', 'solar simulator', 'UV-Vis spectrophotometer', None]"
ca_hfo2_ferroelectric_test,specific,"Need to verify whether Ca:HfO2 capacitor films show ferroelectric switching, wake-up behavior, and endurance after rapid thermal annealing.",0.7988805459902473,0.0,0.7988805459902473,,no_equipment_returned,ferroelectric tester / P-E hysteresis analyzer,must_have,[],"['must_have', 'must_have', 'supporting_but_not_ideal', 'no_match', 'no_match']",[],"['ferroelectric tester', 'ferroelectric tester', 'electrical characterization system', None, None]"
q1_ldv_electromech,specific,Which instrument would you use to measure the in-plane and out-of-plane electromechanical displacement response of the BaTiO3 thin-film devices under AC voltage drive?,0.7988805459902473,0.0,0.7988805459902473,piezoresponse force microscope,no_match,Laser Doppler vibrometer,must_have,['no_match'],"['must_have', 'must_have', 'supporting_but_not_ideal', 'no_match']",[None],"['laser doppler vibrometer', 'laser doppler vibrometer', 'white-light interferometer', None]"
qb_spectral_diffusion,process_optimization,I need to track how excitation energy relaxes and how spectral diffusion changes the widths and cross-peaks in a photosynthetic complex after excitation.,0.7988805459902473,0.0,0.7988805459902473,two-dimensional electronic spectrometer,no_match,two-dimensional electronic spectroscopy system,must_have,"['no_match', 'no_match', 'no_match']","['must_have', 'best_match', 'supporting_but_not_ideal', 'supporting_but_not_ideal']","[None, None, None]","['two-dimensional electronic spectroscopy setup', 'ultrafast transient absorption spectrometer', 'fluorescence spectrometer', 'fluorescence spectrometer']"
