query_id,query_type,ndcg_at_3_direct,ndcg_at_3_reranking_papers,num_returned_equipment_direct,num_returned_equipment_reranking_papers,num_subproblems_run_direct,num_subproblems_run_reranking_papers,relaxed_top1_correct_direct,relaxed_top1_correct_reranking_papers,relaxed_top3_correct_direct,relaxed_top3_correct_reranking_papers,run_status_direct,run_status_reranking_papers,strict_top1_correct_direct,strict_top1_correct_reranking_papers,strict_top3_correct_direct,strict_top3_correct_reranking_papers,top1_equipment_direct,top1_equipment_reranking_papers,top1_match_label_direct,top1_match_label_reranking_papers,top1_match_score_direct,top1_match_score_reranking_papers
PET_packaging_barrier,broad_diagnostic,0.04229741585226647,0.5307212739772436,2,4,1,1,False,False,False,True,completed,completed,False,False,False,True,Fourier Transform Infrared (FTIR) spectrometer with ATR sampling module,oxygen transmission rate tester,no_match,no_match,0,0
acoustic_particles_diagnostic,method_selection,0.4692787260227565,0.23463936301137825,1,5,1,1,True,False,True,True,completed,completed,True,False,True,True,surface acoustic wave microfluidic system,optical tweezers,must_have_or_best_match,no_match,3,0
afm-grease-microstructure,specific,0.0,0.6131471927654584,2,1,1,1,False,True,False,True,completed,completed,False,True,False,True,scanning electron microscope,atomic force microscope,no_match,must_have_or_best_match,0,3
antifouling_01,broad_diagnostic,0.4692787260227565,0.0,2,0,1,1,True,False,True,False,completed,completed,True,False,True,False,Quartz crystal microbalance with dissipation monitoring,,must_have_or_best_match,no_equipment_returned,3,0
dnaJB8-hsp70-fp,specific,0.4692787260227565,0.0,2,2,1,1,True,False,True,False,completed,completed,True,False,True,False,fluorescence polarization assay instrument,fluorescence polarization assay setup,must_have_or_best_match,no_match,3,0
fmi_system,broad_diagnostic,1.0,0.4692787260227565,4,4,1,1,True,True,True,True,completed,completed,True,True,True,True,fluorescence imaging system,intraoperative near-infrared fluorescence imaging system,must_have_or_best_match,must_have_or_best_match,3,3
osc_morphology_giwaxs,specific,0.06703981800325093,0.7653606369886218,1,2,1,1,False,True,False,True,completed,completed,False,True,False,True,atomic force microscope,grazing-incidence wide-angle X-ray scattering,supporting_but_not_ideal,must_have_or_best_match,1,3
pcm_multiple_events,method_selection,0.4692787260227565,0.4692787260227565,1,1,1,1,True,True,True,True,completed,completed,True,True,True,True,atom probe tomography system,Atom probe tomography system,must_have_or_best_match,must_have_or_best_match,3,3
pef_barrier_measurement,broad_diagnostic,0.2960819109658653,0.7653606369886218,2,3,1,1,False,True,True,True,completed,completed,False,True,True,True,oxygen transmission rate tester,oxygen transmission rate tester,no_match,must_have_or_best_match,0,3
small_vesicle_nanomech,method_selection,0.0,0.4692787260227565,0,1,1,1,False,True,False,True,completed,completed,False,True,False,True,,Atomic force microscope,no_equipment_returned,must_have_or_best_match,0,3
sr3fe2o7_neutron_diffraction_setup,specific,0.0,1.0,0,3,1,1,False,True,False,True,completed,completed,False,True,False,True,,DMC constant-wavelength neutron diffractometer,no_equipment_returned,must_have_or_best_match,0,3
subcellular_lipid_map,broad_diagnostic,0.4692787260227565,0.0,2,0,1,1,True,False,True,False,completed,completed,True,False,True,False,time-of-flight secondary ion mass spectrometer,,must_have_or_best_match,no_equipment_returned,3,0
summit-noci-001,specific,0.8262346571285599,0.27541155237618664,2,1,1,1,True,False,True,False,completed,completed,False,False,False,False,Summit supercomputer,Oak Ridge Leadership Computing Facility (OLCF) high-performance computing system,acceptable_alternative,supporting_but_not_ideal,2,1
tdEV_identity_multimodal,method_selection,0.14285714285714288,0.04229741585226647,4,3,1,1,False,False,False,False,completed,completed,False,False,False,False,atomic force microscope with infrared nanospectroscopy (AFM-IR / nanospectroscopy),Raman spectrometer,supporting_but_not_ideal,no_match,1,0
tmd_spin_valley_laser,method_selection,0.0,0.0,1,1,1,1,False,False,False,False,completed,completed,False,False,False,False,spectrometer/camera system,polarization-resolved photoluminescence spectroscopy system,no_match,no_match,0,0
