query_id,query_type,ndcg_at_3_decomposition,ndcg_at_3_direct,num_returned_equipment_decomposition,num_returned_equipment_direct,num_subproblems_run_decomposition,num_subproblems_run_direct,relaxed_top1_correct_decomposition,relaxed_top1_correct_direct,relaxed_top3_correct_decomposition,relaxed_top3_correct_direct,run_status_decomposition,run_status_direct,strict_top1_correct_decomposition,strict_top1_correct_direct,strict_top3_correct_decomposition,strict_top3_correct_direct,top1_equipment_decomposition,top1_equipment_direct,top1_match_label_decomposition,top1_match_label_direct,top1_match_score_decomposition,top1_match_score_direct
PET_packaging_barrier,broad_diagnostic,0.0,0.04229741585226647,4,2,4,1,False,False,False,False,completed,completed,False,False,False,False,uniaxial tensile testing system,Fourier Transform Infrared (FTIR) spectrometer with ATR sampling module,no_match,no_match,0,0
acoustic_particles_diagnostic,method_selection,0.0,0.4692787260227565,3,1,1,1,False,True,False,True,completed,completed,False,True,False,True,dielectrophoresis microfluidic separation system,surface acoustic wave microfluidic system,no_match,must_have_or_best_match,0,3
afm-grease-microstructure,specific,0.0,0.0,2,2,1,1,False,False,False,False,completed,completed,False,False,False,False,scanning electron microscope,scanning electron microscope,no_match,no_match,0,0
antifouling_01,broad_diagnostic,0.3631217289691162,0.4692787260227565,9,2,4,1,False,True,True,True,completed,completed,False,True,True,True,contact angle goniometer,Quartz crystal microbalance with dissipation monitoring,supporting_but_not_ideal,must_have_or_best_match,1,3
dnaJB8-hsp70-fp,specific,0.0,0.4692787260227565,1,2,1,1,False,True,False,True,completed,completed,False,True,False,True,fluorescence polarization assay setup,fluorescence polarization assay instrument,no_match,must_have_or_best_match,0,3
fmi_system,broad_diagnostic,1.0,1.0,14,4,4,1,True,True,True,True,completed,completed,True,True,True,True,fluorescence molecular imaging systems,fluorescence imaging system,must_have_or_best_match,must_have_or_best_match,3,3
osc_morphology_giwaxs,specific,0.7462155048864012,0.06703981800325093,5,1,2,1,True,False,True,False,completed,completed,True,False,True,False,grazing-incidence wide-angle X-ray scattering,atomic force microscope,must_have_or_best_match,supporting_but_not_ideal,3,1
pcm_multiple_events,method_selection,0.4692787260227565,0.4692787260227565,1,1,1,1,True,True,True,True,completed,completed,True,True,True,True,atom probe tomography system,atom probe tomography system,must_have_or_best_match,must_have_or_best_match,3,3
pef_barrier_measurement,broad_diagnostic,0.4692787260227565,0.2960819109658653,1,2,1,1,True,False,True,True,completed,completed,True,False,True,True,gas permeability / gas barrier measurement system,oxygen transmission rate tester,must_have_or_best_match,no_match,3,0
small_vesicle_nanomech,method_selection,0.4692787260227565,0.0,1,0,1,1,True,False,True,False,completed,completed,True,False,True,False,Atomic Force Microscope,,must_have_or_best_match,no_equipment_returned,3,0
sr3fe2o7_neutron_diffraction_setup,specific,0.4692787260227565,0.0,1,0,1,1,True,False,True,False,completed,completed,True,False,True,False,polarised neutron diffractometer D3,,must_have_or_best_match,no_equipment_returned,3,0
subcellular_lipid_map,broad_diagnostic,0.0,0.4692787260227565,0,2,1,1,False,True,False,True,completed,completed,False,True,False,True,,time-of-flight secondary ion mass spectrometer,no_equipment_returned,must_have_or_best_match,0,3
summit-noci-001,specific,0.27541155237618664,0.8262346571285599,1,2,1,1,False,True,False,True,completed,completed,False,False,False,False,Summit supercomputer,Summit supercomputer,supporting_but_not_ideal,acceptable_alternative,1,2
tdEV_identity_multimodal,method_selection,0.4692787260227565,0.14285714285714288,8,4,4,1,True,False,True,False,completed,completed,True,False,True,False,transmission electron microscope,atomic force microscope with infrared nanospectroscopy (AFM-IR / nanospectroscopy),must_have_or_best_match,supporting_but_not_ideal,3,1
tmd_spin_valley_laser,method_selection,0.0,0.0,2,1,1,1,False,False,False,False,completed,completed,False,False,False,False,spectrometer/camera system with circular polarization optics,spectrometer/camera system,no_match,no_match,0,0
