metric,mean_rag,mean_llm_only,mean_delta_llm_minus_rag,n_llm_better,n_rag_better,n_tied
ndcg_at_1,0.6498849987222081,0.6485867074102368,-0.0025555839509327862,107,113,339
ndcg_at_3,0.4137279057846347,0.4594694277042107,0.04570642604008209,245,184,130
ndcg_at_5,0.33223213504212157,0.3851879382499561,0.053120482037803556,280,180,99
hit_at_1,0.667262969588551,0.6737967914438503,0.005366726296958855,97,94,368
hit_at_3,0.776386404293381,0.7950089126559715,0.017889087656529516,78,68,413
hit_at_5,0.7817531305903399,0.8181818181818182,0.03577817531305903,80,60,419
strict_hit_at_3,0.7370304114490162,0.7344028520499108,-0.0035778175313059034,80,82,397
must_have_recall_at_1,0.17251503234447577,0.1755096970213249,0.002727195007266822,89,92,376
must_have_recall_at_3,0.2274678692542247,0.23833233949513022,0.010822575589182414,121,112,324
must_have_recall_at_5,0.23478384771023905,0.2530525030525031,0.01827961585591747,132,107,318
relevant_recall_at_3,0.16483026239458992,0.17878132991239382,0.013994411572350346,156,119,284
relevant_recall_at_5,0.17305075464421027,0.19714673997330562,0.02420503746972734,185,113,261
