input_query_id,input_source_pdf_path,input_source_doi,input_source_is_review_paper,original_query,used_decomposition,num_subproblems_run,rank,equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,supporting_subproblem_ids,aliases,measurement_outputs,explanations,supporting_papers
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,1,oxygen transmission rate tester,gas barrier testing instrument,best_match,0.97,1,1,original_query,OTR tester | gas permeation tester for oxygen,oxygen transmission rate (OTR) | gas barrier performance,"The query asks whether a candidate can replace PET in transparent packaging despite poor gas barrier performance. OTR measurement directly evaluates gas barrier performance, which is central to bottle and film packaging suitability.",A preliminary survey on the demand for oxygen and water vapor transmission rate testing of food packaging in the Philippines (10.31893/multiscience.2026448)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,2,water vapor transmission rate tester,gas/moisture barrier testing instrument,best_match,0.95,1,1,original_query,WVTR tester | moisture permeation tester,water vapor transmission rate (WVTR) | moisture barrier performance,"A PET replacement for packaging must also maintain barrier properties; WVTR testing directly assesses moisture barrier performance, which is relevant to deciding if the material can function in bottle and film packaging.",A preliminary survey on the demand for oxygen and water vapor transmission rate testing of food packaging in the Philippines (10.31893/multiscience.2026448)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,3,haze meter,optical transparency tester,best_match,0.86,1,1,original_query,haze measurement instrument,haze | optical transparency,The query specifically mentions haze/discoloration concerns and transparent packaging. Haze measurement is directly relevant for determining whether a biobased PET replacement remains sufficiently clear for transparent packaging.,Scale-Up Fabrication of Biodegradable Poly(butylene adipate-co-terephthalate)/Organophilic–Clay Nanocomposite Films for Potential Packaging Applications (10.1021/ACSOMEGA.7B02062)
PET_packaging_barrier,data/interim/pdfs/Recommendations_for_replacing_PET_on_packaging__fiber__and_film_materials_with_biobased_counterparts.pdf,,True,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",False,1,4,colorimeter,optical color measurement instrument,acceptable_alternative,0.9,1,1,original_query,colorimetry instrument | color measurement device,brightness index | yellowness index | redness index,"The query mentions discoloration concerns. Colorimetry is directly relevant for quantifying visual discoloration, though it does not assess gas barrier performance and is less direct than haze measurement for transparency.",Development of Bio-Based Smart Active Packaging for Monitoring Freshness and Expanding Shelf Life of Penaeus Monodon (10.1007/s41208-025-00909-0)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,1,gas-cluster ion beam secondary-ion mass spectrometer,mass spectrometry imaging system,best_match,0.98,1,1,original_query,GCIB-SIMS | secondary-ion mass spectrometry imaging with gas cluster ion beam | 70 keV gas-cluster ion beam coupled to TOF-SIMS,subcellular lipid distribution maps | single-cell spatial localization of PEox and CL | high-spatial-resolution secondary-ion mass spectra,"This is explicitly reported to map cardiolipin and phosphatidylethanolamine species in cells and tissues at the single-cell/subcellular level, directly matching the need to visualize these lipids in individual cells and organelles.",Direct Mapping of Phospholipid Ferroptotic Death Signals in Cells and Tissues by Gas Cluster Ion Beam Secondary Ion Mass Spectrometry (GCIB-SIMS) (10.1002/anie.202102001)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,2,stimulated Raman scattering microscope,optical imaging microscope,acceptable_alternative,0.83,1,1,original_query,SRS microscope | PRM-SRS microscopy platform | hyperspectral PRM-SRS microscopy,subcellular lipid subtype images | hyperspectral Raman-based chemical maps | relative lipid distribution and colocalization maps,"The chunks state that this microscope can visualize subcellular lipid distributions and specifically detect cardiolipin and phosphatidylethanolamine-related patterns. It is relevant for subcellular lipid imaging, though the evidence is less direct than GCIB-SIMS for the exact query target.",Multi-molecular hyperspectral PRM-SRS microscopy (10.1038/s41467-024-45576-6)
subcellular_lipid_map,data/interim/pdfs/Redox_phospholipidomics_of_enzymatically_generated_oxygenated_phospholipids_as_specific_signals_of_programmed_cell_death.pdf,,True,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",False,1,3,quadrupole time-of-flight mass spectrometer for MALDI mass spectrometry imaging,mass spectrometry imaging system,supporting_but_not_ideal,0.71,1,1,original_query,MALDI-MSI system | high-resolution MALDI mass spectrometry imaging platform | quadrupole time-of-flight mass spectrometer,cardiolipin spatial maps in tissue sections | individual retinal cell layer lipid profiles | tandem MS lipid composition data,"This equipment is explicitly used for cardiolipin imaging with close to single-cell resolution in tissue layers, but the chunks emphasize tissue sections rather than individual cells or organelles. It is supportive but not the clearest match for the subcellular organelle-level requirement.",Visualization of Differential Cardiolipin Profiles in Murine Retinal Cell Layers by High-Resolution MALDI Mass Spectrometry Imaging. (10.1021/acs.analchem.3c01465)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,1,Titan supercomputer,supercomputer,best_match,0.96,1,1,original_query,27PF Titan supercomputer | Titan | NVIDIA Kepler-accelerated Titan,parallel execution of GronOR calculations | GPU-accelerated nonorthogonal configuration interaction matrix elements,"The chunks explicitly state that the first version of GronOR was developed on Titan, and the query asks which physical computing system was used to run the matrix-element calculations.",GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions. (10.1021/acs.jctc.2c00266)
summit-noci-001,data/interim/pdfs/Reduced_Common_Molecular_Orbital_Basis_for_Nonorthogonal_Configuration_Interaction.pdf,10.1021/acs.jctc.9b01144,False,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,False,1,2,Summit supercomputer,supercomputer,best_match,0.95,1,1,original_query,200PF Summit supercomputer | Summit | NVIDIA Volta-accelerated Summit,parallel execution of GronOR calculations | GPU-accelerated nonorthogonal configuration interaction matrix elements,The chunks explicitly state that GronOR's successor was developed on Summit; this is directly relevant as the physical computing system used for the calculations.,GronOR: Scalable and Accelerated Nonorthogonal Configuration Interaction for Molecular Fragment Wave Functions. (10.1021/acs.jctc.2c00266)
sr3fe2o7_neutron_diffraction_setup,data/interim/pdfs/Reentrant_multiple-q_magnetic_order_and_a__spin_meta-cholesteric__phase_in_Sr3Fe2O7.pdf,10.1038/s41535-024-00698-4,False,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,False,1,1,SENJU time-of-flight Laue neutron single-crystal diffractometer,neutron single-crystal diffractometer,best_match,0.98,1,1,original_query,SENJU | TOF-Laue neutron single crystal diffractometer,magnetic reflections | large 3D reciprocal-space coverage | Bragg reflections,"This is explicitly described as a neutron single-crystal diffractometer designed for magnetic structures and for searching weak magnetic reflections within a 3D reciprocal-space volume, which directly matches the need to determine magnetic Bragg reflections and reciprocal-space maps.",Application of machine learning and kernel density estimation for efficient data treatment on single-crystal diffraction data (10.1107/s0108767321086062)
